GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0400000US32,32,Nevada,2063180,2367,273017,10186,592846,12735,684037,10996,340110,9439,173170,6302,209474,7180,16947,2509,70740,4668,69883,4449,35307,3259,16597,2006,1277540,12422,94941,5906,360781,9639,483646,8937,216189,7085,121983,5406,38149,3659,3659,988,11386,1874,13961,2339,5937,1191,3206,1031,538017,11713,157470,8203,149939,7907,116547,6064,82677,5547,31384,2831
0400000US33,33,New Hampshire,958005,2078,66560,4139,268564,7192,268989,7748,216750,6656,137142,5961,314390,7822,27921,2924,110492,5000,90492,5256,59256,3857,26229,2485,561150,8171,28357,3042,138158,5472,162282,6540,137874,5493,94479,4944,10638,1591,917,520,2630,964,2266,725,3402,844,1423,511,71827,3991,9365,1783,17284,2425,13949,1781,16218,2197,15011,2173
0400000US34,34,New Jersey,6234538,2703,628185,13137,1696858,19547,1432788,17242,1506899,18697,969808,11874,2601624,23102,162093,7278,829724,14974,674190,12894,619421,9991,316196,7851,1648690,18847,85517,4407,377380,9763,396386,10962,455625,10254,333782,8578,166317,6066,46433,3674,48245,3576,37833,3447,21721,2703,12085,1668,1817907,20835,334142,9844,441509,13163,324379,8363,410132,10494,307745,9203
0400000US35,35,New Mexico,1391475,3298,193565,7365,370599,9529,450811,8613,211995,6750,164505,5945,614245,9281,82768,4674,202044,7746,213375,7170,73923,5016,42135,3383,593355,9324,39609,2940,130298,7242,202305,6619,116553,4289,104590,5030,16736,1943,1560,820,3306,1091,6394,1407,3357,817,2119,684,167139,8030,69628,5172,34951,4017,28737,3517,18162,2515,15661,1795
0400000US36,36,New York,13821132,5048,1854945,22400,3634065,25909,3351960,26987,2794920,26765,2185242,23120,7581644,30287,615819,14122,2151178,23029,2155554,21474,1508652,19609,1150441,16578,1808229,19477,122259,5885,318262,7778,367422,10772,536566,12205,463720,9997,395118,11341,119908,6464,106571,4991,81953,5111,48593,3812,38093,3342,4036141,28408,996959,18383,1058054,17433,747031,17182,701109,14350,532988,11437
0400000US37,37,North Carolina,6991185,8361,853789,17959,1800555,21293,2146162,21872,1406739,17830,783940,12200,3428377,23551,465696,12398,1071779,17352,1111035,18891,542883,12380,236984,7183,2779837,24104,169159,6624,574620,14046,881394,15900,722105,12678,432559,10493,88448,5910,8429,1890,16143,2410,29806,3561,21852,2569,12218,1864,694523,13390,210505,8750,138013,7553,123927,6877,119899,5912,102179,5941
0400000US38,38,North Dakota,495904,1865,35023,3119,130900,4211,177542,5431,108045,4628,44394,3446,297505,4446,22104,2672,80657,3312,108661,3904,66131,3916,19952,2071,167973,5252,9415,1259,43640,3310,61013,4263,35602,2630,18303,2283,4385,1054,151,150,985,520,1912,767,1144,499,193,216,26041,2697,3353,1097,5618,1525,5956,1569,5168,1441,5946,1444
0400000US39,39,Ohio,7981885,4550,777688,14573,2661209,19218,2311638,20384,1381934,17454,849416,13767,5609684,20022,502143,11068,2015198,19502,1688081,17759,920742,13801,483520,10428,1858224,21493,191435,7488,530630,12457,517646,10207,356421,9591,262092,7687,74063,4676,12189,1457,19207,2793,24441,2478,9743,1739,8483,1369,439914,13393,71921,5690,96174,6757,81470,5939,95028,5868,95321,5140
0400000US40,40,Oklahoma,2586414,3402,309014,7481,804245,11783,812619,9840,437243,8868,223293,5852,1385683,12167,142892,5057,465217,8088,444669,8724,228681,7517,104224,3922,989472,11654,95888,4073,288668,7487,326454,7332,179201,5358,99261,4229,26438,2335,2231,674,6163,1345,9977,1559,5495,907,2572,686,184821,6176,68003,3873,44197,3817,31519,2776,23866,2828,17236,2508
0400000US41,41,Oregon,2901195,4079,262381,9396,673810,13692,986587,13817,609160,10201,369257,8116,1020700,17698,69401,5131,287822,10588,384680,9478,194404,6983,84393,4515,1486303,19028,92506,5687,306122,9630,514453,12508,343295,8463,229927,6535,38301,3890,3162,1055,7356,1704,10035,1771,11788,1928,5960,1170,355891,10469,97312,6482,72510,6157,77419,5796,59673,4142,48977,4126
